conml,conm,tic,cik,gvkey,Works?
Emdeon Inc,EMDEON INC,EM.3,0001444598,175903,
Homeinns Hotel Group,HOMEINNS HOTEL GROUP,HMIN,0001376972,175904,
Where Food Comes From Inc,WHERE FOOD COMES FROM INC,WFCF,0001360565,175908,
Solta Medical Inc,SOLTA MEDICAL INC,SLTM,0001171298,175913,
RR Media Ltd,RR MEDIA LTD,RRM,0001375829,175948,
Virtual Radiologic Corporation,VIRTUAL RADIOLOGIC CORP,VRAD,0001361579,175949,
IPG Photonics Corp,IPG PHOTONICS CORP,IPGP,0001111928,175955,
Catalyst Pharmaceutical Inc,CATALYST PHARMACEUTICALS INC,CPRX,0001369568,175966,
Hansen Medical Inc,HANSEN MEDICAL INC,HNSN,0001276591,175978,
Canadian Solar Inc,CANADIAN SOLAR INC,CSIQ,0001375877,175982,
Physicians Formula Holdings Inc,PHYSICIANS FORMULA HOLDINGS,FACE,0001269871,175983,
Athersys Inc,ATHERSYS INC,ATHX,0001368148,176017,
Allot Ltd,ALLOT LTD,ALLT,0001365767,176021,
Emergent BioSolutions Inc,EMERGENT BIOSOLUTIONS INC,EBS,0001367644,176022,
Netlist Inc,NETLIST INC,NLST,0001282631,176035,
NYMEX Holdings Inc,NYMEX HOLDINGS INC,NMX.1,0001105018,176048,
World Energy Solutions Inc,WORLD ENERGY SOLUTIONS INC,XWES,0001371781,176068,
Venoco Inc,VENOCO INC,VQ,0001313024,176070,
AeroGrow International Inc,AEROGROW INTERNATIONAL INC,AERO,0001316644,176083,
AerCap Holdings NV,AERCAP HOLDINGS NV,AER,0001378789,176092,
MPM Holdings Inc,MPM HOLDINGS INC,MPMQ,0001624826,176096,
Wireless Ronin Technologies Inc -Old,WIRELESS RONIN TECHNLGS -OLD,RNIN.1,,176118,
Sinoenergy Corporation,SINOENERGY CORP,SNEN,0001107563,176138,
Grupo Aeroportuario del Centro Norte SAB de CV,GRUPO AEROPORTUARIO DEL CENT,OMAB,0001378239,176152,
Kandi Technolgies Group Inc,KANDI TECHNOLOGIES GROUP,KNDI,0001316517,176169,
IntelGenx Technologies Corp,INTELGENX TECHNOLOGIES CORP,IGXT,0001098880,176198,
WaferGen Bio-systems Inc,WAFERGEN BIO-SYSTEMS INC,WGBS,0001368993,176199,
CatchMark Timber Trust Inc,CATCHMARK TIMBER TRUST,CTT,0001341141,176234,
Heelys Inc,HEELYS INC,HLYS,0001373980,176235,
Affymax Inc,AFFYMAX INC,AFFY,0001158223,176237,
Cal Dive International Inc,CAL DIVE INTERNATIONAL INC,CDVIQ,0001364100,176238,
NewStar Financial Inc,NEWSTAR FINANCIAL INC,NEWS,0001373561,176239,
Altra Industrial Motion Corp,ALTRA INDUSTRIAL MOTION CORP,AIMC,0001374535,176247,
Carrols Restaurant Group Inc,CARROLS RESTAURANT GROUP INC,TAST,0000809248,176249,
Information Services Group Inc,INFORMATION SERVICES GROUP,III,0001371489,176251,
Guidance Software Inc,GUIDANCE SOFTWARE INC,GUID,0001375557,176255,
Portman Ridge Finance Corp,PORTMAN RIDGE FINANCE CORP,PTMN,0001372807,176256,
Teekay Offshore Partners LP,TEEKAY OFFSHORE PARTNERS LP,TOO,0001382298,176259,
Melco Resorts & Entertainment Ltd,MELCO RESORTS & ENTERTAINMEN,MLCO,0001381640,176260,
Trina Solar Ltd,TRINA SOLAR LTD,TSL,0001382158,176261,
DCT Industrial Trust Inc,DCT INDUSTRIAL TRUST INC,DCT.1,0001170991,176268,
Genesis Lease Ltd,GENESIS LEASE LTD -ADR,GLS.,0001369824,176274,
Obagi Medical Products Inc,OBAGI MEDICAL PRODUCTS INC,OMPI,0001375247,176275,
Isilon Systems Inc,ISILON SYSTEMS INC,ISLN,0001373671,176279,
Spectra Energy Corp,SPECTRA ENERGY CORP,SE.7,0001373835,176282,
Comverge Inc,COMVERGE INC,COMV,0001372664,176289,
Skilled Healthcare Group Inc,SKILLED HEALTHCARE GROUP INC,SKH,,176291,
Hanwha Q CELLS Co Ltd,HANWHA Q CELLS CO LTD,HQCL,0001371541,176305,
Universal Power Group Inc,UNIVERSAL POWER GROUP INC,UPGI,0001372000,176325,
Clean Energy Fuels Corp,CLEAN ENERGY FUELS CORP,CLNE,0001368265,176343,
Profire Energy Inc,PROFIRE ENERGY INC,PFIE,0001289636,176346,
Evoq Properties Inc,EVOQ PROPERTIES INC,EVOQ,0001665562,176353,
Animal Health International Inc,ANIMAL HEALTH INTL INC,AHII.,0001372813,176361,
AeroVironment Inc,AEROVIRONMENT INC,AVAV,0001368622,176362,
Mellanox Technologies Ltd,MELLANOX TECHNOLOGIES LTD,MLNX,0001356104,176363,
Reeds Inc,REEDS INC,REED,0001140215,176378,
FCStone Group Inc,FCSTONE GROUP INC,FCSX,0001297846,176521,
National CineMedia Inc,NATIONAL CINEMEDIA INC,NCMI,0001377630,176523,
Veraz Networks Inc,VERAZ NETWORKS INC,VRAZ,,176524,
Sourcefire Inc,SOURCEFIRE INC,FIRE,0001168195,176556,
Opnext Inc,OPNEXT INC,OPXT,0001157780,176558,
Duncan Energy Partners LP,DUNCAN ENERGY PARTNERS LP,DEP,0001379378,176565,
Super Micro Computer Inc,SUPER MICRO COMPUTER INC,SMCI,0001375365,176567,
Aviat Networks Inc,AVIAT NETWORKS INC,AVNW,0001377789,176572,
Employers Holdings Inc,EMPLOYERS HOLDINGS INC,EIG,0001379041,176591,
HFF Inc,HFF INC,HF,0001380509,176592,
CarParts.com Inc,CARPARTS COM INC,PRTS,0001378950,176593,
Optimer Pharmaceuticals Inc,OPTIMER PHARMACEUTICALS INC,OPTR,0001142576,176594,
Fortress Investment Group LLC,FORTRESS INVESTMENT GRP LLC,FIG,0001380393,176595,
Detour Gold Corp,DETOUR GOLD CORP,DRGDF,0001391158,176598,
Harrow Health Inc,HARROW HEALTH INC,HROW,0001360214,176636,
CYS Investments Inc,CYS INVESTMENTS INC,CYS,0001396446,176637,
Horsehead Holding Corp,HORSEHEAD HOLDING CORP,ZINCQ,0001385544,176639,
Universal Energy Group Ltd.,UNIVERSAL ENERGY GROUP LTD,0232B,,176644,
Cellcom Israel Ltd,CELLCOM ISRAEL LTD,CELJF,0001385145,176652,
Salary.com Inc,SALARY.COM INC,SLRY,0001105360,176658,
Targa Resources Partners LP,TARGA RESOURCES PARTNERS LP,NGLS,0001379661,176659,
3SBio Inc,3SBIO INC,SSRX,0001677235,176660,
JA Solar Holdings Co Ltd,JA SOLAR HOLDINGS CO LTD,JASO,0001385598,176661,
Accuray Inc,ACCURAY INC,ARAY,0001138723,176670,
Interactive Brokers Group Inc,INTERACTIVE BROKERS GROUP,IBKR,0001381197,176701,
RDA Holding Co,RDA HOLDING CO,2326B,,176711,
Barings Bdc Inc,BARINGS BDC INC,BBDC,0001379785,176725,
Trimble Navigation Ltd -Pro Forma,TRIMBLE NAVIGATION-PRO FORMA,TRMB.P,,176755,
Domtar Corp,DOMTAR CORP,UFS,0001381531,176760,
BioFuel Energy Corp,BIOFUEL ENERGY CORP,BIOF.1,,176764,
TFS Financial Corp,TFS FINANCIAL CORP,TFSL,0001381668,176766,
Bridgeline Digital Inc,BRIDGELINE DIGITAL INC,BLIN,0001378590,176768,
Aruba Networks Inc,ARUBA NETWORKS INC,ARUN,0001173752,176781,
Glu Mobile Inc,GLU MOBILE INC,GLUU,0001366246,176782,
PAETEC Holding Corp,PAETEC HOLDING CORP,PAET,0001372041,176833,
Ring Energy Inc,RING ENERGY INC,REI,0001384195,176840,
Orexigen Therapeutics Inc,OREXIGEN THERAPEUTICS INC,OREXQ,0001382911,176861,
Pinnacle Gas Resources Inc,PINNACLE GAS RESOURCES INC,PINN,0001362120,176862,
BigBand Networks Inc,BIGBAND NETWORKS INC,BBND,0001381325,176863,
IT Tech Packaging Inc,IT TECH PACKAGING INC,ITP,0001358190,176867,
Rand Logistics Inc,RAND LOGISTICS INC,RLOGQ,0001294250,176873,
Summer Infant Inc,SUMMER INFANT INC,SUMR,0001314772,176874,
SandRidge Energy Inc,SANDRIDGE ENERGY INC,SD,0001349436,176899,
Xinhua Sports & Entertainment Ltd,XINHUA SPORTS & ENTMT LTD,XSELY,0001389476,176900,
Broadridge Financial Solutions Inc,BROADRIDGE FINANCIAL SOLUTNS,BR,0001383312,176928,
Cambium Learning Group Inc,CAMBIUM LEARNING GROUP INC,ABCD,0001466815,176939,
indiePub Entertainment Inc,INDIEPUB ENTERTAINMENT INC,IPUB,0001326652,176954,
Response Genetics Inc,RESPONSE GENETICS INC,RGDXQ,0001124608,176963,
Greenlight Capital Re Ltd,GREENLIGHT CAPITAL RE LTD,GLRE,0001385613,176973,
DiaMedica Therapeutics Inc,DIAMEDICA THERAPEUTICS INC,DMAC,0001401040,176992,
Saratoga Investment Corp,SARATOGA INVESTMENT CORP,SAR,0001377936,176999,
First Bank,FIRST BANK,FRBA,,177009,
GuestLogix Inc,GUESTLOGIX INC,GUESF,0001401096,177030,
SmartHeat Inc,SMARTHEAT INC,HEAT,,177031,
Bourse de Montreal Inc,BOURSE DE MONTREAL INC,MXX.Z,,177037,
Capital Product Partners LP,CAPITAL PRODUCT PARTNERS LP,CPLP,0001392326,177067,
Blackstone Group Inc,BLACKSTONE GROUP INC,BX,0001393818,177088,
Monotype Imaging Holdings Inc,MONOTYPE IMAGING HOLDINGS,TYPE,0001385292,177099,
Cinemark Holdings Inc,CINEMARK HOLDINGS INC,CNK,0001385280,177108,
CAI International Inc,CAI INTERNATIONAL INC,CAI,0001388430,177109,
NeurogesX Inc,NEUROGESX INC,NGSX,0001385830,177110,
TechTarget Inc,TECHTARGET INC,TTGT,0001293282,177111,
Biodel Inc,BIODEL INC,BIOD,,177112,
Crestwood Midstream Partners LP,CRESTWOOD MIDSTREAM PTNRS LP,CMLP,0001304464,177124,
TomoTherapy Inc,TOMOTHERAPY INC,TOMO,0001317872,177125,
HireRight Inc,HIRERIGHT INC,HIRE,0001168652,177126,
ShoreTel Inc,SHORETEL INC,SHOR,0001388133,177127,
Simcere Pharmaceutical Group,SIMCERE PHARMACEUTICAL GROUP,SCR.1,0001384360,177129,
Cellular Biomedicine Group Inc,CELLULAR BIOMEDICINE GROUP,CBMG,0001378624,177179,
Opiant Pharmaceuticals Inc,OPIANT PHARMACEUTICALS INC,OPNT,0001385508,177182,
PennantPark Investment Corp,PENNANTPARK INVESTMENT CORP,PNNT,0001383414,177216,
DragonWave Inc,DRAGONWAVE INC,DRWIQ,0001178946,177222,
Cavium Inc,CAVIUM INC,CAVM,0001175609,177225,
Insulet Corp,INSULET CORP,PODD,0001145197,177227,
NovaBay Pharmaceuticals Inc,NOVABAY PHARMACEUTICALS INC,NBY,0001389545,177228,
JMP Group LLC,JMP GROUP LLC,JMP,0001302350,177255,
EnerNOC Inc,ENERNOC INC,ENOC,0001244937,177256,
Infinera Corp,INFINERA CORP,INFN,0001138639,177257,
OceanFreight Inc,OCEANFREIGHT INC,OCNF,0001395593,177259,
Covidien Plc,COVIDIEN PLC,COV,0001385187,177264,
TE Connectivity Ltd,TE CONNECTIVITY LTD,TEL,0001385157,177267,
Helicos BioSciences Corp,HELICOS BIOSCIENCES CORP,HLCSQ,0001274563,177284,
Sirtris Pharmaceuticals Inc,SIRTRIS PHARMACEUTICALS INC,SIRT,0001388775,177285,
Starent Networks Corp,STARENT NETWORKS CORP,STAR.2,0001391672,177286,
Jazz Pharmaceuticals Plc,JAZZ PHARMACEUTICALS PLC,JAZZ,0001232524,177287,
Noranda Aluminum Holding Corp,NORANDA ALUMINUM HOLDING CP,NORNQ,0001422105,177303,
Aegerion Pharmaceuticals Inc,AEGERION PHARMACEUTICALS INC,AEGR,0001338042,177313,
Limelight Networks Inc,LIMELIGHT NETWORKS INC,LLNW,0001391127,177315,
Acorn International Inc,ACORN INTERNATIONAL INC -ADR,ATV,0001365742,177340,
Qiao Xing Mobile Communication Co Ltd,QIAO XING MOBILE COMM CO LTD,QXMCF,0001386607,177341,
ChromaDex Corp,CHROMADEX CORP,CDXC,0001386570,177367,
Discover Financial Services,DISCOVER FINANCIAL SVCS,DFS,0001393612,177376,
Hycroft Mining Holding Corp,HYCROFT MINING HOLDING CORP,HYMC,0001718405,177405,
Solera Holdings Inc,SOLERA HOLDINGS INC,SLH,0001324245,177429,
American Electric Technologies Inc,AMERICAN ELECTRIC TECH INC,AETI,,177446,
China Sunergy Co Ltd,CHINA SUNERGY CO LTD,CSUNY,0001396247,177458,
Deer Consumer Products Inc,DEER CONSUMER PRODUCTS INC,DEER,0001388855,177465,
Nobilis Health Corp,NOBILIS HEALTH CORP,NRTSF,0001409916,177472,
LDK Solar Co Ltd.,LDK SOLAR CO LTD,LDKYQ,0001385424,177486,
Vantage Drilling Co,VANTAGE DRILLING CO,VTGDF,0001419428,177487,
TSS Inc,TSS INC,TSSI,0001320760,177528,
Cyalume Technologies Holdings Inc,CYALUME TECHNOLOGIES HLDGS,CYLU,0001335293,177545,
interCLICK Inc,INTERCLICK INC,ICLK.1,0001378846,177576,
GLG Life Tech Corp,GLG LIFE TECH CORP,GLGLF,0001406635,177602,
Yingli Green Energy Holdings Co Ltd,YINGLI GREEN ENERGY HLDGS CO,YGEHY,0001394029,177629,
Espial Group Inc,ESPIAL GROUP INC,ESPAF,,177633,
AMC Entertainment Holdings Inc,AMC ENTERTAINMENT HOLDINGS,AMC,0001411579,177637,
Tiptree Inc,TIPTREE INC,TIPT,0001393726,177640,
AuthenTec Inc,AUTHENTEC INC,AUTH.1,0001138830,177650,
Netezza Corp,NETEZZA CORP,NZ.1,0001132484,177654,
Boise Inc,BOISE INC,BZ.1,0001391390,177697,
RuggedCom Inc,RUGGEDCOM INC,RUGGF,,177733,
Spectra Energy Partners LP,SPECTRA ENERGY PARTNERS LP,SEP,0001394074,177739,
Data Domain Inc,DATA DOMAIN INC,DDUP,0001391984,177740,
PROS Holdings Inc,PROS HOLDINGS INC,PRO,0001392972,177744,
MF Global Holdings Ltd,MF GLOBAL HOLDINGS LTD,MFGLQ,0001401106,177745,
Synthetic Biologics Inc,SYNTHETIC BIOLOGICS INC,SYN,0000894158,177764,
TeraGo Inc,TERAGO INC,TRAGF,,177779,
comScore Inc,COMSCORE INC,SCOR,0001158172,177780,
Spreadtrum Communications Inc,SPREADTRUM COMMUNICATNS -ADR,SPRD,0001287950,177781,
BlackRock Capital Investment Corp,BLACKROCK CAPITAL INVT CORP,BKCC,0001326003,177782,
Fortress Global Enterprises Inc,FORTRESS GLOBAL ENTRPRS INC,FTPLF,0001441758,177797,
Copper Mountain Mining Corporation,COPPER MOUNTAIN MINING CORP,CPPMF,0001393355,177812,
Chrysler Group LLC,CHRYSLER GROUP LLC,FIATY1,0001513153,177827,
BladeLogic Inc,BLADELOGIC INC,BLOG,0001175685,177870,
Virtusa Corp,VIRTUSA CORP,VRTU,0001207074,177871,
SoundBite Communications Inc,SOUNDBITE COMMUNICATIONS INC,SDBT,0001163698,177872,
Limco-Piedmont Inc,LIMCO-PIEDMONT INC,LIMC,0001395943,177880,
Masimo Corp,MASIMO CORP,MASI,0000937556,177881,
hhgregg Inc,HHGREGG INC,HGGGQ,0001396279,177882,
Airvana Inc,AIRVANA INC,AIRV,0001116435,177883,
Concho Resources Inc,CONCHO RESOURCES INC,CXO,0001358071,177884,
GT Advanced Technologies Inc,GT ADVANCED TECHNOLOGIES INC,GTATQ,0001394954,177895,
Rex Energy Corp,REX ENERGY CORP,REXXQ,0001397516,177896,
PharMerica Corp,PHARMERICA CORP,PMC,0001388195,177924,
WABCO Holdings Inc,WABCO HOLDINGS INC,WBC,0001390844,177925,
athenahealth Inc,ATHENAHEALTH INC,ATHN.2,0001131096,177930,
DHI Group Inc,DHI GROUP INC,DHX,0001393883,177943,
Encore Bancshares Inc,ENCORE BANCSHARES INC,EBTX,0001319327,177944,
Blueknight Energy Partners LP,BLUEKNIGHT ENERGY PRTNRS LP,BKEP,0001392091,177945,
Orbitz Worldwide Inc,ORBITZ WORLDWIDE INC,OWW,0001394159,177953,
Allison Transmission Holdings Inc,ALLISON TRANSMISSION HLDGS,ALSN,0001411207,177966,
Zagg Inc,ZAGG INC,ZAGG,0001296205,177975,
SiNtx Technologies Inc,SINTX TECHNOLOGIES INC,SINT,0001269026,177981,
Dolan Co (The),DOLAN CO,DOLNQ,0001396838,177982,
Genpact Ltd,GENPACT LTD,G,0001398659,177983,
Validus Holdings Ltd,VALIDUS HOLDINGS LTD,VR,0001348259,177996,
Yongye International Inc,YONGYE INTERNATIONAL INC,YONG,0001398551,178003,
Voltaire Ltd,VOLTAIRE LTD,VOLT.2,0001401678,178011,
Perfect World Co Ltd,PERFECT WORLD CO LTD,PWRD,0001403849,178012,
Lululemon Athletica Inc,LULULEMON ATHLETICA INC,LULU,0001397187,178015,
Brooke Capital Corp,BROOKE CAPITAL CORP,BRKC,0001082084,178027,
B. Riley Financial Inc,B. RILEY FINANCIAL INC,RILY,0001464790,178073,
MercadoLibre Inc,MERCADOLIBRE INC,MELI,0001099590,178081,
Paragon Shipping Inc,PARAGON SHIPPING INC,PRGNF,0001401112,178082,
VMware Inc,VMWARE INC -CL A,VMW,0001124610,178083,
Cosan Ltd,COSAN LTD,CZZ,0001402902,178084,
Point.360,POINT.360,PTSXQ,0001398797,178089,
E-House (China) Holdings Ltd,E-HOUSE CHINA HOLDINGS  -ADR,EJ,0001405658,178093,
Cumberland Pharmaceuticals Inc,CUMBERLAND PHARMACEUTICALS,CPIX,0001087294,178097,
WuXi PharmaTech (Cayman) Inc,WUXI PHARMATECH (CAYMAN)-ADR,WX,0001403132,178106,
DemandTec Inc,DEMANDTEC INC,DMAN.1,0001400400,178113,
Sandstorm Gold Ltd,SANDSTORM GOLD LTD,SAND,0001434614,178148,
Neonode Inc,NEONODE INC,NEON,0000087050,178153,
MiMedx Group Inc,MIMEDX GROUP INC,MDXG,0001376339,178157,
Vitamin Shoppe Inc,VITAMIN SHOPPE INC,VSI,0001360530,178201,
Pure Industrial Real Estate Trust,PURE INDUSTRIAL REAL ESTATE,PDTRF,,178244,
Teradata Corporation,TERADATA CORP,TDC,0000816761,178310,
China XD Plastics Co Ltd,CHINA XD PLASTICS CO LTD,CXDC,0001353970,178327,
Maiden Holdings Ltd,MAIDEN HOLDINGS LTD,MHLD,0001412100,178371,
Argonaut Gold Inc,ARGONAUT GOLD INC,ARNGF,0001348909,178384,
Seanergy Maritime Holdings Corp,SEANERGY MARITIME HLDGS CORP,SHIP,0001448397,178403,
Fly Leasing Ltd,FLY LEASING LTD  -ADR,FLY,0001407298,178405,
Duff & Phelps Corp,DUFF & PHELPS CORP,DUF,0001397821,178453,
Constant Contact Inc,CONSTANT CONTACT INC,CTCT,0001405277,178493,
Remark Holdings Inc,REMARK HOLDINGS INC,MARK,0001368365,178494,
MSCI Inc,MSCI INC,MSCI,0001408198,178507,
LPL Financial Holdings Inc,LPL FINANCIAL HOLDINGS INC,LPLA,0001397911,178519,
China Digital TV Holding Co Ltd,CHINA DIGITALTV HLDG CO -ADS,STVVY,0001405503,178525,
Main Street Capital Corp,MAIN STREET CAPITAL CORP,MAIN,0001396440,178529,
Zep Inc,ZEP INC,ZEP,0001408287,178538,
Retail Opportunity Investments Corp,RETAIL OPPORTUNITY INVTS CP,ROIC,0001407623,178539,
Affinion Group Holdings Inc,AFFINION GROUP HOLDINGS INC,AFGR,0001404624,178540,
Neenah Enterprises Inc,NEENAH ENTERPRISES INC,NNHE,0000855667,178543,
Compellent Technologies Inc,COMPELLENT TECHNOLOGIES INC,CML,0001253955,178548,
Textainer Group Holdings Ltd,TEXTAINER GROUP HOLDINGS LTD,TGH,0001413159,178552,
Virgin Mobile USA Inc,VIRGIN MOBILE USA INC,VM,0001396546,178568,
Patriot Coal Corp,PATRIOT COAL CORP,PATAQ,0001376812,178608,
Noah Education Holdings Ltd,NOAH EDUCATION HOLDINGS -ADR,NED,0001411825,178609,
Baxano Surgical Inc,BAXANO SURGICAL INC,BAXSQ,0001230355,178619,
Stream Global Services Inc,STREAM GLOBAL SERVICES INC,SGS,0001405287,178633,
TechPrecision Corp,TECHPRECISION CORP,TPCS,0001328792,178644,
CVR Energy Inc,CVR ENERGY INC,CVI,0001376139,178672,
American DG Energy Inc,AMERICAN DG ENERGY INC,ADGE,0001378706,178676,
Longtop Financial Technologies Ltd,LONGTOP FINANCIAL TECH -ADR,LGFTY,0001412494,178683,
Vanguard Natural Resources LLC,GRIZZLY ENERGY LLC,GRZZU,0001384072,178684,
AAC Holdings Inc,AAC HOLDINGS INC,AACH,0001606180,178698,
Pzena Investment Management Inc,PZENA INVESTMENT MANAGEMENT,PZN,0001399249,178703,
Ulta Beauty Inc,ULTA BEAUTY INC,ULTA,0001403568,178704,
FGX International Holdings Ltd,FGX INTERNATIONAL HLDGS LTD,FGXI,0001357227,178706,
Redline Communications Group Inc,REDLINE COMMUNICATIONS GROUP,RDLCF,,178719,
Power Medical Interventions Inc,POWER MEDICAL INTERVENTIONS,PMII,0001398090,178722,
BTB Real Estate Investment Trust,BTB REAL ESTATE INVESTMNT TR,BTBIF,,178726,
Genoptix Inc,GENOPTIX INC,GXDX,0001138412,178738,
Fanhua Inc,FANHUA INC -ADS,FANH,0001413855,178750,
Nanosphere Inc,NANOSPHERE INC,NSPH,0001105184,178752,
Giant Interactive Group Inc,GIANT INTERACTIVE GROUP -ADR,GA,0001415016,178765,
Inteliquent Inc,INTELIQUENT INC,IQNT,0001292653,178767,
IMRIS Inc,IMRIS INC,IMRSQ,0001489161,178774,
GLG Partners Inc,GLG PARTNERS INC,GLG.1,0001365790,178779,
Airnet Technology Inc,AIRNET TECHNOLOGY INC-ADS,ANTE,0001413745,178796,
American Public Education Inc,AMERICAN PUBLIC EDUCATION,APEI,0001201792,178797,
Approach Resources Inc,APPROACH RESOURCES INC,AREXQ,0001405073,178798,
ARYx Therapeutics Inc,ARYX THERAPEUTICS INC,ARYX,0001410064,178799,
BioForm Medical Inc,BIOFORM MEDICAL INC,BFRM,0001282393,178800,
Ensign Group Inc (The),ENSIGN GROUP INC,ENSG,0001125376,178803,
ICx Technologies Inc,ICX TECHNOLOGIES INC,ICXT,0001334303,178805,
LL Flooring Holdings Inc,LL FLOORING HOLDINGS INC,LL,0001396033,178806,
Hatteras Financial Corp,HATTERAS FINANCIAL CORP,HTS,0001419521,178811,
Sculptor Capital Management Inc,SCULPTOR CAPITAL MANAGEMENT,SCU,0001403256,178814,
United Insurance Holdings Corp,UNITED INSURANCE HOLDINGS CO,UIHC,0001401521,178823,
China Nepstar Chain Drugstore Ltd,CHINA NEPSTAR CHAIN DRUG-ADS,NPD,0001414850,178838,
OSG America LP,OSG AMERICA LP,OSP,0001409134,178839,
EnergySolutions Inc,ENERGYSOLUTIONS INC,ES.2,0001393744,178846,
ReShape Lifesciences Inc,RESHAPE LIFESCIENCES INC,RSLS,0001427570,178847,
Internet Brands Inc,INTERNET BRANDS INC,INET,0001080131,178850,
Nuverra Environmental Solutions Inc,NUVERRA ENVIRONMENTAL SOLUTN,NES,0001403853,178851,
Abraxis BioScience Inc,ABRAXIS BIOSCIENCE INC,ABII,0001409012,178855,
Chimera Investment Corp,CHIMERA INVESTMENT CORP,CIM,0001409493,178862,
El Paso Pipeline Partners LP,EL PASO PIPELINE PARTNERS LP,EPB,0001410838,178863,
Rubicon Technology Inc,RUBICON TECHNOLOGY INC,RBCN,0001410172,178865,
3PAR Inc,3PAR INC,PAR.3,0001408501,178866,
SuccessFactors Inc,SUCCESSFACTORS INC,SFSF,0001402305,178868,
Src energy inc,SRC ENERGY INC,SRCI,0001413507,178870,
Navios Maritime Partners LP,NAVIOS MARITIME PARTNERS LP,NMM,0001415921,178877,
SinoHub Inc,SINOHUB INC,SIHI,0001406574,178896,
FlexShopper Inc,FLEXSHOPPER INC,FPAY,0001397047,178907,
Gastar Exploration Inc,GASTAR EXPLORATION INC,GSTCQ,0001431372,178921,
CD International Enterprises Inc,CD INTERNATIONAL ENTERPRISES,CDIIQ,0001088787,178939,
Entropic Communications Inc,ENTROPIC COMMUNICATIONS INC,ENTR.1,0001227930,178943,
Labrador Iron Mines Holdings Ltd,LABRADOR IRON MINES HLDG LTD,LBRMF,0001488158,178951,
BG Medicine Inc,BG MEDICINE INC,BGMD,0001407038,178972,
Titan Machinery Inc,TITAN MACHINERY INC,TITN,0001409171,178973,
WSP Holdings Ltd,WSP HOLDINGS LTD,WSHLY,0001418225,178974,
VisionChina Media Inc,VISIONCHINA MEDIA INC,VISN.1,0001415911,178975,
Stride Inc,STRIDE INC,LRN,0001157408,178976,
Select Sands Corp,SELECT SANDS CORP,SLSDF,0001546241,178978,
Franco-Nevada Corp,FRANCO-NEVADA CORP,FNV,0001456346,178997,
ChinaEdu CORP,CHINAEDU CORP -ADR,CEDU,0001411419,179022,
Intellon Corp,INTELLON CORP,ITLN,0001120105,179026,
MedAssets Inc,MEDASSETS INC,MDAS,0001254419,179027,
VanceInfo Technologies Inc,VANCEINFO TECHNOLOGIES -ADR,VIT,0001417961,179028,
Xinyuan Real Estate Co Ltd,XINYUAN REAL ESTATE CO -ADR,XIN,0001398453,179029,
Atlantic Capital Bancshares Inc,ATLANTIC CAP BANCSHARES INC,ACBI,0001461755,179048,
Orion Energy Systems Inc,ORION ENERGY SYSTEMS INC,OESX,0001409375,179058,
B2Gold Corp,B2GOLD CORP,BTG,0001429937,179060,
Forestar Group Inc,FORESTAR GROUP INC,FOR,0001406587,179077,
Gushan Environmental Energy Ltd,GUSHAN ENVIRONMNTL ENRGY-ADR,GU,0001419723,179081,
MEMSIC Inc,MEMSIC INC,MEMS,0001386198,179082,
NetSuite Inc,NETSUITE INC,N,0001117106,179084,
Teekay Tankers Ltd,TEEKAY TANKERS LTD,TNK,0001419945,179087,
Del Frisco's Restaurant Group Inc,DEL FRISCOS RESTURNT GRP INC,DFRG,0001415301,179094,
American Apparel Inc,AMERICAN APPAREL INC,APPCQ,0001336545,179110,
Bridgewater Systems Corp,BRIDGEWATER SYSTEMS CORP,BWC.,,179119,
Orion Group Holdings Inc,ORION GROUP HOLDINGS INC,ORN,0001402829,179132,
5N Plus Inc,5N PLUS INC,FPLSF,,179163,
Rocky Mountain Dealerships Inc,ROCKY MOUNTAIN DEALERSHIPS,RCKXF,0001423556,179164,
Ceres Global Ag Corp,CERES GLOBAL AG CORP,CERGF,0001621373,179187,
EchoStar Corp,ECHOSTAR CORP,SATS,0001415404,179202,
Brookfield Infrastructure Partners LP,BROOKFIELD INFRS PTRS LP,BIP,0001406234,179216,
Broadwind Inc,BROADWIND INC,BWEN,0001120370,179249,
Riskmetrics Group Inc,RISKMETRICS GROUP INC,RISK,0001295172,179258,
Cascal NV,CASCAL N.V.,CCALF,0001404675,179259,
DallasNews Corporation,DALLASNEWS CORP,DALN,0001413898,179288,
IPC Healthcare Inc,IPC HEALTHCARE INC,IPCM,0001410471,179299,
ATA Creativity Global,ATA CREATIVITY GLOBAL -ADS,AACG,0001420529,179300,
SeaCube Container Leasing Ltd,SEACUBE CONTAINER LEASING,BOX.2,0001487999,179303,
Atrinsic Inc -Old,ATRINSIC INC -OLD,ATRN.1,0001383099,179360,
ArcSight Inc,ARCSIGHT INC,ARST.1,0001368582,179378,
Mako Surgical Corp,MAKO SURGICAL CORP,MAKO,0001411861,179380,
Cardiovascular Systems Inc,CARDIOVASCULAR SYSTEMS INC,CSII,0001180145,179413,
Real Goods Solar Inc,REAL GOODS SOLAR INC,RGSEQ,0001425565,179417,
Trevali Mining Corp,TREVALI MINING CORP,TREVF,0001402948,179433,
American Water Works Company Inc,AMERICAN WATER WORKS CO INC,AWK,0001410636,179437,
Anacor Pharmaceuticals Inc,ANACOR PHARMACEUTICALS INC,ANAC.1,0001411158,179438,
BioTelemetry Inc,BIOTELEMETRY INC,BEAT.2,0001574774,179441,
